empresa,grupo_corporativo,sector,subsector,estado,ciudad,cargo_contacto,dolor_principal,viajes_mes_estimados,modo_transporte,puertos_frontera,certificacion_actual,meta_sostenibilidad,relevancia_clcircular,razon_relevancia,fuente_dato,linkedin_empresa,sitio_web
Grupo Modelo — Planta Zacatecas,AB InBev,Cerveza,Planta productora interior,Zacatecas,Calera,Gerente de Logística de Planta,Ruta larga hacia puertos y fronteras; coordinación multi-modal; seguridad en tránsito,100+,Terrestre,Laredo TX (vía Monterrey),"ISO 9001, C-TPAT",AB InBev Net Zero 2040,Media-Alta,Planta interior con rutas largas de alta exposición,grupomodelo.com; AB InBev Mexico operations,linkedin.com/company/grupo-modelo,grupomodelo.com
Heineken México — Planta Toluca,Heineken International,Cerveza,Planta histórica / distribución,Estado de México,Toluca,Gerente de Logística Centro,Distribución nacional y exportación; coordinación con otras plantas del grupo; reportes sostenibilidad en cadena,150+,Terrestre,Laredo TX (vía Monterrey),"ISO 14001, ISO 9001",Heineken Net Zero 2030,Media-Alta,Planta histórica; distribución hub CDMX; integración con programa sostenibilidad Heineken,theheinekencompany.com; Heineken Sustainability Report 2024,linkedin.com/company/heineken,theheinekencompany.com
Grupo Modelo — Planta Guadalajara,AB InBev,Cerveza,Planta productora occidente,Jalisco,Guadalajara,Gerente de Exportaciones Occidente,Exportación Corona/Pacifico desde occidente; coordinación marítima Manzanillo y terrestre Nogales,120+,Terrestre + Marítimo,"Nogales AZ, Manzanillo","ISO 9001, C-TPAT",AB InBev Net Zero 2040,Media-Alta,Planta occidente con multi-rutas; coordinación logística compleja,grupomodelo.com; AB InBev México 2024,linkedin.com/company/grupo-modelo,grupomodelo.com
Cervecería Minerva S.A. de C.V.,Independiente,Cerveza,Cervecería artesanal exportadora,Jalisco,Guadalajara,Gerente de Operaciones y Exportaciones,Temperatura en tránsito; calidad del producto en aduanas; control de apertura de contenedores,20-50,Terrestre + Aéreo (muestras),"Nogales AZ, Laredo TX","Distintivo H, certificaciones locales",Packaging reciclable 2025,Media,"Exporta a EE.UU., Japón y Europa; alta preocupación por integridad del producto premium en tránsito",cervezaminerva.com; reportajes UNCIBER 2024,linkedin.com/company/cerveceria-minerva,cervezaminerva.com
"Cervecería de Colima (Colima, Wayak, Gringa)",Independiente,Cerveza,Cervecería artesanal exportadora,Colima,Colima,Director Comercial / Export Manager,Control de temperatura en tránsito marítimo; integridad del producto en aduanas de California y Texas,15-30,Marítimo (LA/LB) + Terrestre,Manzanillo → Los Ángeles CA,"BRC, ISO 22000",Economía circular en packaging 2026,Media,Premio al exportador artesanal; exporta a 15 países; alta sensibilidad a temperatura en cerveza artesanal sin pasteurizar,cervezacolima.com; Expo Cerveza MX 2024,linkedin.com/company/cerveceria-de-colima,cervezacolima.com
Mexbeer / Distribuidores Corona Independientes,Red distribuidores AB InBev,Cerveza,Operador logístico cervecero,Nuevo León,Monterrey,Gerente de Operaciones de Distribución,Control de temperatura en distribución secundaria; robo de carga en rutas noreste,100+,Terrestre,"Laredo TX, Reynosa TX",C-TPAT (en proceso),No reportado,Media,Red de distribución secundaria; alta exposición a robo; comprador independiente de tecnología de seguridad,ANIERM directorio distribuidores 2024,N/A,N/A
Cervezas Insurgente,Independiente,Cerveza,Cervecería artesanal exportadora,Baja California,Tijuana,Export Manager,"Distribución en CA, TX, NV; calidad en tránsito; temperatura",15-30,Terrestre,Tijuana / San Diego CA,"TTB COLA, FDA",Sostenibilidad packaging 2025,Media,Artesanal de mayor distribución en EE.UU. desde BC; crecimiento acelerado; requiere control calidad en tránsito,cervezainsurgente.com; reportaje Forbes MX artesanales 2024,linkedin.com/company/insurgente,cervezainsurgente.com
Tres Generaciones Export (Destilados Olmeca),Pernod Ricard México,Cerveza,Bebidas alcohólicas premium / exportación,Jalisco,Guadalajara,Export Logistics Manager,Bebidas premium sensibles a temperatura y golpes; cumplimiento normativo TTB; robo de carga de alto valor,50+,Terrestre + Aéreo,"Laredo TX, El Paso TX","ISO 9001, C-TPAT",Pernod Ricard Good Times from a Good Place 2030,Media,Producto premium de alto valor; alta sensibilidad a robo y contaminación; sector adyacente a cerveza,pernod-ricard.com/mexico; reportaje bebidas premium exportación 2024,linkedin.com/company/pernod-ricard,pernod-ricard.com
Sigma Alimentos (bebidas exportación),Alfa S.A.B. (BMV: ALFAA),Cerveza,Conglomerado alimentos/bebidas exportador,Nuevo León,Monterrey,VP Supply Chain Internacional,Carga seca exportación multiproducto; temperatura en tránsito para alimentos; cumplimiento FDA Food Safety Modernization Act,200+,Terrestre + Marítimo,"Laredo TX, Brownsville TX","ISO 9001, ISO 22000, BRC, FSMA",Alfa Net Zero 2040,Media,Conglomerado que incluye bebidas; presión regulatoria FSMA alta; alto volumen,sigma-alimentos.com; BMV Alfa Reporte Anual 2024,linkedin.com/company/sigma-alimentos,sigma-alimentos.com
Cervecería Cosaco S.A. de C.V.,Independiente,Cerveza,Cervecería artesanal BC,Baja California,Tijuana,Socio fundador / Operaciones,Cruce fronterizo San Diego/Tijuana; control de temperatura en artesanal no pasteurizada; cumplimiento TTB/FDA,10-20,Terrestre,Tijuana / San Diego CA,"Permiso COFEPRIS, FDA registration",Packaging retornable,Media-Baja,Volumen bajo pero creciente; cruce fronterizo de alto riesgo; sector artesanal con alta conciencia de calidad,cervezacosaco.com; Camara de Comercio Tijuana 2024,linkedin.com/company/cosaco-brewing,cervezacosaco.com
Wendlandt Cervecería,Independiente,Cerveza,Cervecería artesanal exportadora BC,Baja California,Ensenada,Director de Exportaciones,Exportación a California; temperatura crítica en IPA y cervezas vivas; apertura no autorizada de cajas,10-20,Terrestre,"Tijuana / San Diego CA, Mexicali / Calexico CA",TTB Certificate of Label Approval (COLA),Eco-packaging en proceso,Media-Baja,Referente artesanal bajacaliforniano; exporta a EE.UU. regularmente; alta conciencia de calidad y sostenibilidad,wendlandt.mx; Baja Craft Brewers Association 2024,linkedin.com/company/wendlandt,wendlandt.mx
Cervecería Tempus,Independiente,Cerveza,Cervecería artesanal,Estado de México,Toluca,Director Comercial,Exportación a comunidad mexicana en EE.UU.; control calidad artesanal en tránsito; riesgo temperatura,10-20,Terrestre,Laredo TX,"COFEPRIS, FDA",Packaging retornable en prueba,Media-Baja,Artesanal en crecimiento; ruta CDMX-Laredo de alta exposición,cervezatempus.mx; UNCIBER directorio 2024,linkedin.com/company/tempus-cerveceria,cervezatempus.mx
Baja Brewing Company,Independiente,Cerveza,Cervecería artesanal turística/exportadora,Baja California Sur,Los Cabos,Gerente de Operaciones,Distribución a mercado americano en California; temperatura en tránsito; logística insular,5-10,Aéreo + Terrestre,Tijuana / San Diego CA,FDA registration,Eco-cervecería,Baja,Volumen bajo; interés exploratorio para cuando escalen exportaciones,bajabrewing.com; Directorio UNCIBER 2024,linkedin.com/company/baja-brewing,bajabrewing.com
Cerveza Loba Brewing Co.,Independiente,Cerveza,Cervecería artesanal CDMX,Ciudad de México,Ciudad de México,Fundador / Director de Operaciones,"Exportación a EE.UU. (Texas, California); temperatura IPA no pasteurizada; cumplimiento FDA",5-15,Terrestre,Laredo TX,"FDA registration, COFEPRIS",Eco-packaging en proceso,Baja,Artesanal en crecimiento; mercado americano como objetivo; volumen bajo actualmente,lobabrewing.com; UNCIBER directorio,linkedin.com/company/loba-brewing,lobabrewing.com
Cervecería Ramuri (Sonora),Independiente,Cerveza,Cervecería artesanal fronteriza,Sonora,Hermosillo,Socio fundador / Operaciones,Exportación a Arizona; temperatura desierto en tránsito; ruta Hermosillo-Nogales de alto riesgo térmico,5-10,Terrestre,Nogales AZ,"TTB, FDA",Local sourcing,Baja,Ruta de alto estrés térmico; volumen en crecimiento,ramuribeer.com; Asociación Cerveceros Sonora 2024,N/A,ramuribeer.com
Cervecería Calavera,Independiente,Cerveza,Cervecería artesanal CDMX,Ciudad de México,Ciudad de México,Director de Exportaciones,Exportación artesanal a EE.UU.; temperatura crítica; autenticidad en tránsito,5-10,Terrestre + Aéreo,Laredo TX,"FDA, COFEPRIS",Eco-packaging,Baja,Volumen bajo; interés a mediano plazo,cervezacalavera.com; UNCIBER 2024,linkedin.com/company/calavera-craft-brewery,cervezacalavera.com
Cerveza 2 Banderas (exportadora artesanal Sonora),Independiente,Cerveza,Cervecería artesanal fronteriza,Sonora,Agua Prieta,Gerente de Operaciones,Cruce fronterizo Arizona; temperatura extrema desierto Sonora; autenticidad artesanal en tránsito,5-10,Terrestre,Agua Prieta / Douglas AZ,"TTB, FDA",Local sourcing,Baja,Exploratoria; interés en escalamiento,Asociación Cerveceros Sonora 2024,N/A,N/A
GRUMA S.A.B. de C.V. (GIMSA) — Corporativo,GRUMA S.A.B. (BMV: GRUMAB),Harinas,Harina de maíz / Productor exportador líder,Nuevo León,San Pedro Garza García,VP Supply Chain / Director de Logística Internacional,74% de ventas fuera de México; 92 plantas en 113 países; trazabilidad de carga en tránsito hacia EE.UU. para cumplir FSMA; temperatura sacos harina en contenedores marítimos,500+,Terrestre + Marítimo,"Laredo TX, Veracruz, Manzanillo","ISO 9001, ISO 22000, FSSC 22000, FSMA",GRUMA Sustainability 2030: reducción 30% huella carbono,Alta,Líder mundial harina maíz; cotiza BMV; 74% ventas internacionales; FSMA exige trazabilidad en cadena; programa sostenibilidad activo,gruma.com; BMV GRUMA RA 2024; GRUMA Sustainability Report 2024,linkedin.com/company/gruma,gruma.com
GRUMA Mission Foods — Planta Monterrey,GRUMA S.A.B. (BMV: GRUMAB),Harinas,Tortillas y harina exportación EE.UU.,Nuevo León,Monterrey,Plant Manager / Gerente de Logística,Producción de tortillas Mission para mercado americano; temperatura en tránsito crítica para producto perecedero; cruce Laredo de alta frecuencia,200+,Terrestre (refrigerado + seco),Laredo TX,"ISO 22000, FSSC 22000, BRC, FSMA",GRUMA Sustainability 2030,Alta,Producto semi-perecedero; temperatura crítica en tránsito; volumen masivo Monterrey-Laredo,missionfoods.com; gruma.com; BMV GRUMA RA 2024,linkedin.com/company/gruma,missionfoods.com
Minsa S.A. de C.V. — Planta Tlalnepantla,Grupo Minsa (privado),Harinas,Harina de maíz / Segundo productor,Estado de México,Tlalnepantla,Gerente de Exportaciones / Director Supply Chain,Exportación Masarica y Minsa a EE.UU. (comunidad hispana); competencia GRUMA obliga diferenciación en calidad; trazabilidad FSMA; temperatura en almacén y tránsito,80+,Terrestre,Laredo TX,"ISO 9001, ISO 22000, FSMA",Reducción residuos 2025,Alta,Segundo jugador maíz MX→EE.UU.; presión competitiva obliga innovación; trazabilidad FSMA requerida,gruposminsa.com; CANAMI directorio 2024,linkedin.com/company/minsa,gruposminsa.com
CARGILL de México S.A. de C.V. — División Harinas,"Cargill Inc. (privado, USA)",Harinas,Harina trigo / Ingredientes / Productor,Nuevo León,Monterrey,Supply Chain Director México,Harina trigo grado exportación; humedad crítica en sacos; trazabilidad lote grano-a-producto FSMA; operaciones multi-modal terrestres y marítimas,150+,Terrestre + Marítimo,"Laredo TX, Veracruz","ISO 9001, ISO 22000, FSSC 22000, HACCP, FSMA",Cargill Net Zero 2050,Alta,Empresa global con los más altos estándares; mandato sostenibilidad activo; harina sensible a humedad = sensor CLCircular relevante,cargill.com/mexico; Cargill Sustainability Report 2024,linkedin.com/company/cargill,cargill.com
Ingredion México S.A. de C.V.,Ingredion Inc. (NYSE: INGR),Harinas,Almidones y harinas ingredientes industriales,Jalisco,Guadalajara,VP Supply Chain LAC,Almidones e ingredientes industriales sensibles a humedad; exportación a industria alimentos EE.UU.; trazabilidad FSMA; clientes B2B que exigen certificaciones,100+,Terrestre + Marítimo,"Laredo TX, Manzanillo","ISO 9001, ISO 22000, FSSC 22000, BRC, FSMA",Ingredion Net Zero 2050 (cotiza NYSE),Alta,Cotiza NYSE; requerimientos trazabilidad FSMA máximos; ingredientes industriales B2B de alto valor,ingredion.com/mexico; Ingredion Annual Report 2024,linkedin.com/company/ingredion,ingredion.com
Molinera de México S.A. (Grupo Trimex),Grupo Trimex (privado),Harinas,"Harina de trigo / Marcas La Rosa, Pitic, Selecta",Nuevo León,Guadalupe,Director de Operaciones y Exportaciones,Exportación harina trigo a EE.UU. (comunidades hispanas Texas/California); humedad en sacos kraft; trazabilidad de lote FSMA; competencia con marcas americanas,60+,Terrestre,Laredo TX,"ISO 22000, HACCP, FSMA",Reducción packaging desechable,Alta,Líder harina trigo MX→TX; humedad crítica en sacos papel; FSMA trazabilidad; mercado hispano de alto crecimiento,trimex.com.mx; CANIMOLT directorio 2024,linkedin.com/company/grupo-trimex,trimex.com.mx
BIMBO S.A.B. de C.V. — División de Insumos,Grupo Bimbo (BMV: BIMBOA),Harinas,Consumidor / comprador de harina exportador productos,Ciudad de México,Ciudad de México,VP Global Logistics / Director Cadena de Suministro,Bimbo es el mayor comprador de harina trigo en México; también exporta productos panificados a EE.UU.; trazabilidad FSMA total; temperatura en tránsito para productos perecederos,500+,Terrestre + Aéreo,"Laredo TX, El Paso TX, Tijuana/San Diego CA","ISO 9001, ISO 22000, FSSC 22000, FSMA, BRC",Bimbo Net Zero 2050 (CDP A-),Alta,CDP A-; exporta productos terminados a EE.UU.; comprador masivo de harina; VP Global Logistics con visión tecnológica; Andres Lopez Frisbie VP global logística,grupobimbo.com; BMV Bimbo RA 2024; CDP 2024; #SoyLogístico Premio Nacional Logística 2023,linkedin.com/company/grupo-bimbo,grupobimbo.com
GRUMA GIMSA — Planta Lerma,GRUMA S.A.B. (BMV: GRUMAB),Harinas,Harina maíz planta centro,Estado de México,Lerma,Gerente de Logística de Planta,Distribución nacional y exportación; temperatura en almacén de harina; trazabilidad lote hacia EE.UU.; coordinación con Toluca y CDMX,150+,Terrestre,Laredo TX (vía Monterrey),"ISO 22000, FSSC 22000",GRUMA Sustainability 2030,Alta,Planta estratégica GRUMA zona centro; alta rotación exportación,gruma.com; BMV GRUMA RA 2024,linkedin.com/company/gruma,gruma.com
Archer Daniels Midland (ADM) México,ADM (NYSE: ADM),Harinas,Ingredientes / harinas especiales / commodities,Veracruz,Veracruz,Country Manager México / Supply Chain Director,Operaciones portuarias Veracruz; granos y harinas en tránsito; humedad crítica en almacén portuario; cumplimiento FSMA; puerto señalado por EE.UU. como zona riesgo,100+,Marítimo + Terrestre,Puerto Veracruz → Houston TX,"ISO 9001, ISO 22000, FSMA, HACCP",ADM Net Zero 2050 (cotiza NYSE),Alta,Puerto Veracruz señalado como zona riesgo; empresa global cotiza NYSE con mandato ESG; granos sensibles a humedad; alto volumen marítimo,adm.com/mexico; ADM Annual Report 2024,linkedin.com/company/adm,adm.com
Maseca / GRUMA — Planta Guadalupe NL (exportación directa),GRUMA S.A.B. (BMV: GRUMAB),Harinas,Harina maíz exportación directa,Nuevo León,Guadalupe,Gerente de Exportaciones Noreste,Planta de exportación directa hacia Texas; alta frecuencia cruce Laredo; temperatura y humedad en sacos de papel; cumplimiento FDA/FSMA,200+,Terrestre,Laredo TX (diario),"ISO 22000, FSSC 22000, FSMA",GRUMA Sustainability 2030,Alta,Mayor frecuencia cruce diario Laredo; trazabilidad FSMA exigida; humedad critica sacos papel,gruma.com; maseca.com; BMV GRUMA 2024,linkedin.com/company/gruma,maseca.com
Louis Dreyfus Company México,"Louis Dreyfus Company (privado, Países Bajos)",Harinas,Trading de granos / harinas exportación,Ciudad de México,Ciudad de México,Country Head México / Supply Chain,Trading de maíz y trigo; trazabilidad origen-destino en exportaciones a EE.UU.; humedad en almacenamiento; cumplimiento FSMA,100+,Marítimo + Terrestre,"Veracruz, Manzanillo, Laredo TX","ISO 9001, HACCP, FSMA",LDC Net Zero 2050,Alta,Trader global con operaciones masivas en México; trazabilidad trazabilidad FSMA requerida; alto volumen marítimo,ldc.com/mexico; LDC Annual Review 2024,linkedin.com/company/louis-dreyfus-company,ldc.com
Bunge México S.A. de C.V.,Bunge Limited (NYSE: BG),Harinas,Aceites / harinas de oleaginosas / exportación,Jalisco,Guadalajara,Supply Chain Director México,Harinas de oleaginosas sensibles a temperatura y humedad; exportación a EE.UU.; FSMA trazabilidad; operaciones portuarias,80+,Terrestre + Marítimo,"Manzanillo, Laredo TX","ISO 9001, ISO 22000, FSMA, RSPO",Bunge Net Zero 2050 (cotiza NYSE),Alta,Cotiza NYSE; granos sensibles; FSMA máxima; mandato ESG activo,bungenorthamerica.com/mexico; Bunge Annual Report 2024,linkedin.com/company/bunge,bunge.com
GRUMA — Planta Mission Foods Ciudad Obregón,GRUMA S.A.B. (BMV: GRUMAB),Harinas,Tortillas Mission exportación directa,Sonora,Ciudad Obregón,Gerente de Logística Exportación,Tortillas perecederas para mercado de Arizona y California; temperatura crítica; ruta Obregón-Nogales con estrés térmico en verano,80+,Terrestre refrigerado + seco,Nogales AZ,"ISO 22000, FSSC 22000, FSMA, BRC",GRUMA Sustainability 2030,Alta,Producto perecedero; temperatura crítica ruta desierto Sonora; alto volumen; cruce directo Nogales,missionfoods.com; gruma.com,linkedin.com/company/gruma,missionfoods.com
Walmart México y Centroamérica — División Importaciones Alimentos,Walmart Inc. (NYSE: WMT),Harinas,Retailer / comprador de harina importada,Ciudad de México,Ciudad de México,VP Supply Chain / Director de Importaciones,Importación de harinas y alimentos desde MX hacia EE.UU. para cadena Walmart; trazabilidad FSMA total; temperatura en tránsito para productos alimenticios,300+,Terrestre,"Laredo TX, El Paso TX","FSMA, GFSI, ISO 22000",Walmart Project Gigaton Net Zero 2040,Alta,Ya es cliente CLCircular (Walmart México en presentación corporativa); mandato sostenibilidad Project Gigaton; alto volumen,walmartmexico.com.mx; Walmart Mexico Annual Report 2024; CLCircular deck comercial (cliente existente),linkedin.com/company/walmart,walmartmexico.com.mx
SIGMA Alimentos — División Harinas y Panificación,ALFA S.A.B. (BMV: ALFAA),Harinas,Alimentos procesados con harina / exportador,Nuevo León,Monterrey,VP Supply Chain / Director Logística Internacional,Productos de panificación y embutidos con harina exportados a EE.UU.; temperatura en tránsito; trazabilidad FSMA; riesgo contaminación cruzada,200+,Terrestre refrigerado,Laredo TX,"ISO 9001, ISO 22000, FSSC 22000, FSMA, BRC",ALFA Net Zero 2040,Alta,Cotiza BMV (ALFA); exportación masiva productos alimenticios; temperatura crítica; mandato sostenibilidad activo,sigma-alimentos.com; BMV ALFA RA 2024,linkedin.com/company/sigma-alimentos,sigma-alimentos.com
DHL Supply Chain — División Alimentos Secos MX,DHL / Deutsche Post,Harinas,Operador logístico 3PL alimentos,Estado de México,Tlalnepantla,Director de Operaciones Alimentos,Temperatura y humedad en carga alimentaria seca; cumplimiento FSMA multi-cliente; trazabilidad unificada para exportadores de harina,400+,Terrestre,"Laredo TX, El Paso TX","ISO 9001, ISO 22000, BASC, C-TPAT, FSMA",DHL GoGreen 2030,Alta,3PL alimentos multi-cliente; FSMA trazabilidad para todos sus clientes; mandato sostenibilidad DHL GoGreen,dhl.com/mx/alimentos; DHL GoGreen 2024,linkedin.com/company/dhl,dhl.com
GRUMA — Planta Hermosillo Sonora,GRUMA S.A.B. (BMV: GRUMAB),Harinas,Harina maíz noroeste + exportación,Sonora,Hermosillo,Gerente de Planta y Logística Noroeste,Planta noroeste; temperatura extrema Sonora; exportación a California y Arizona; ruta desértica crítica para calidad de harina,60+,Terrestre,Nogales AZ,"ISO 22000, FSSC 22000",GRUMA Sustainability 2030,Alta,Ruta de temperatura extrema (50°C verano); humedad crítica en harina; exportación directa California/Arizona,gruma.com; BMV GRUMA 2024,linkedin.com/company/gruma,gruma.com
Grupo Lala S.A.B. de C.V. — División Exportación,Grupo Lala (BMV: LALAB),Harinas,Lácteos y productos con harina / exportador,Durango,Gómez Palacio,Director de Supply Chain Internacional,Exportación de productos lácteos y panificados con harina a EE.UU.; temperatura refrigerada crítica; FSMA trazabilidad; ruta Durango-frontera de alta exposición,150+,Terrestre refrigerado,"Eagle Pass TX, Laredo TX","ISO 9001, ISO 22000, FSSC 22000, FSMA",Lala Comprometidos 2030,Alta,Cotiza BMV; temperatura crítica (refrigerado); FSMA alta; expansión EE.UU. activa,lala.com.mx; BMV Lala RA 2024,linkedin.com/company/grupo-lala,lala.com.mx
Bodega Aurrerá / Walmart MX — Importaciones propias harina,Walmart Inc. (NYSE: WMT),Harinas,Retailer / private label importador,Ciudad de México,Ciudad de México,Director de Importaciones y Marcas Propias,Private label de harinas importadas desde MX a EE.UU.; trazabilidad FSMA para marca propia; temperatura almacén distribución,100+,Terrestre,Laredo TX,"FSMA, GFSI",Walmart Project Gigaton 2040,Alta,Cliente CLCircular existente (presentación corporativa); mandato sostenibilidad Walmart Project Gigaton; trazabilidad FSMA,walmartmexico.com.mx; CLCircular deck comercial,linkedin.com/company/walmart,walmartmexico.com.mx
Minsa — Planta Torreón,Grupo Minsa (privado),Harinas,Harina maíz centro-norte,Coahuila,Torreón,Gerente de Planta y Logística,Distribución zona La Laguna y exportación norte; temperatura extrema verano Coahuila; humedad sacos en almacén,40-60,Terrestre,"Eagle Pass TX, Laredo TX","ISO 22000, HACCP",Reducción residuos,Media-Alta,Zona de temperatura extrema = sensor relevante; exportación norte activa,gruposminsa.com; CANAMI 2024,linkedin.com/company/minsa,gruposminsa.com
Grupo Trimex — Molino 6 Hermanos,Grupo Trimex (privado),Harinas,Harina trigo / marcas 6 Hermanos y 6 Aspas,Guanajuato,Irapuato,Director de Operaciones,Exportación harina trigo a Texas; humedad en sacos en tránsito; competencia precio; trazabilidad FSMA,40-60,Terrestre,Laredo TX,"ISO 22000, HACCP",Packaging sostenible en evaluación,Media-Alta,Segundo jugador trigo MX→EE.UU.; humedad crítica; zona Bajío nearshoring,trimex.com.mx; CANIMOLT 2024,linkedin.com/company/grupo-trimex,trimex.com.mx
Harinera del Golfo S.A. de C.V.,Independiente,Harinas,Harina trigo para tortilla de harina,Veracruz,Veracruz,Director de Exportaciones,Exportación harina trigo vía Puerto Veracruz; puerto señalado como zona de riesgo; humedad en sacos en ambiente portuario costero,20-40,Marítimo,Puerto Veracruz → Houston TX,"ISO 22000, HACCP",En evaluación,Media-Alta,Puerto Veracruz = zona de riesgo señalada; humedad ambiente portuario crítica para harina,CANIMOLT directorio 2024; Puerto Veracruz estadísticas,N/A,N/A
Harinera La Espiga S.A. de C.V.,Independiente,Harinas,Harina trigo panificación / exportación,Ciudad de México,Ciudad de México,Director de Exportaciones,Harina trigo premium para panaderías artesanales en EE.UU.; humedad en sacos en tránsito; competencia precio con marcas americanas,20-40,Terrestre,Laredo TX,"ISO 22000, HACCP",Packaging eco-friendly,Media,Harina premium sensible; mercado de alta exigencia calidad; FSMA trazabilidad,CANIMOLT directorio 2024; harinalaespiga.com,N/A,harinalaespiga.com
Harinera Moctezuma (Grupo Lala área harinas),Grupo LaLa (BMV: LALAB),Harinas,Harinas para panificación industrial,Durango,Gómez Palacio,Gerente de Logística Industrial,Harina para producción industrial de pan y lácteos; temperatura en almacén; distribución zona La Laguna; exportación indirecta vía Bimbo/Sigma,30-50,Terrestre,Eagle Pass TX,"ISO 22000, HACCP",Reducción huella hídrica,Media,Proveedor de industria panificación; zona La Laguna; exportación indirecta creciente,CANIMOLT directorio 2024,N/A,N/A
Molino Harinero del Pacífico S.A.,Independiente,Harinas,Harina trigo noroeste / exportación,Sinaloa,Mazatlán,Gerente General / Director Operaciones,Exportación harina trigo vía Mazatlán; humedad del ambiente costero crítica; Puerto Mazatlán como alternativa Manzanillo,10-20,Marítimo,Puerto Mazatlán → Los Ángeles CA,"ISO 22000, HACCP",Packaging eco-friendly en evaluación,Media,Región noroeste en crecimiento; humedad costera crítica; exportación marítima directa California,CANIMOLT directorio 2024; Puerto Mazatlán estadísticas,N/A,N/A
SQM México (especialidades agroindustriales / harinas especiales),SQM S.A. (NYSE: SQM),Harinas,Ingredientes especiales / harinas funcionales,Ciudad de México,Ciudad de México,Supply Chain Manager,Ingredientes especiales sensibles a temperatura y humedad; exportación B2B a industria alimentos EE.UU.; FSMA trazabilidad,20-40,Aéreo + Terrestre,"Laredo TX, aeropuerto CDMX","ISO 9001, ISO 22000, FSMA",SQM Sustainability 2030,Media,Ingredientes de alto valor; temperatura crítica; cotiza NYSE con mandato ESG,sqm.com/mexico; SQM Annual Report 2024,linkedin.com/company/sqm,sqm.com
C&S Wholesale Grocers / Proveedor Harina (distribuidor EE.UU. con origen MX),"C&S Wholesale (privado, USA)",Harinas,Distribuidor mayorista EE.UU. harina mexicana,"N/A (sede USA, operaciones MX)",N/A,Import Logistics Manager,Importación harina y productos mexicanos; FSMA trazabilidad lado americano; temperatura almacén distribución multi-temperatura,50+,Terrestre,Laredo TX,"FSMA, GFSI",C&S Sustainability programa,Media,Distribuidor americano que compra a exportadores mexicanos; puede requerir trazabilidad a sus proveedores mexicanos,cswg.com; FSMA importation requirements 2024,linkedin.com/company/cs-wholesale-grocers,cswg.com
MINSA — Planta Mérida,Grupo Minsa (privado),Harinas,Harina maíz sureste / exportación,Yucatán,Mérida,Gerente de Planta y Distribución,Distribución sureste y exportación vía Puerto Progreso; humedad tropical crítica para harina maíz; crecimiento turismo Yucatán = mayor demanda,20-30,Marítimo + Terrestre,Puerto Progreso,"ISO 22000, HACCP",Reducción residuos,Media-Baja,Zona tropical = humedad crítica; exportación marítima creciente,gruposminsa.com; CANAMI 2024,linkedin.com/company/minsa,gruposminsa.com
Harinera San Marcos (Guerrero),Independiente,Harinas,Harina trigo artesanal / panificación local,Guerrero,San Marcos,Gerente General,Distribución regional; costos de exportación altos para pequeño productor; acceso a trazabilidad a precio asequible = caso de uso CLCircular ideal,5-10,Terrestre,N/A (distribución local/nacional),COFEPRIS,Local sourcing,Baja,Pequeño productor; exploratoria; caso de uso asequibilidad CLCircular,CANIMOLT directorio 2024,N/A,N/A
